Top 1000 Wordle openers (score = information gain, higher = better)
============================================================
236. LEAST | score: 28.5135 | visits: 28
237. STOEP | score: 28.5135 | visits: 28
238. STEAN | score: 28.5135 | visits: 28
239. ORANT | score: 28.5134 | visits: 28
240. RITES | score: 28.5133 | visits: 28
241. COSTE | score: 28.5132 | visits: 28
242. REAPS | score: 28.5132 | visits: 28
243. TOWSE | score: 28.5132 | visits: 28
244. URATE | score: 28.5131 | visits: 28
245. SAMEN | score: 28.5131 | visits: 28
246. LYASE | score: 28.5129 | visits: 28
247. ROSIN | score: 28.5128 | visits: 28
248. SMEAR | score: 28.5127 | visits: 28
249. CRANS | score: 28.5127 | visits: 28
250. OATER | score: 28.5126 | visits: 28
251. STADE | score: 28.5125 | visits: 28
252. SORTA | score: 28.5124 | visits: 28
253. SPIER | score: 28.5123 | visits: 28
254. SATEM | score: 28.5122 | visits: 28
255. KESAR | score: 28.5122 | visits: 28
256. TRAIN | score: 28.5121 | visits: 28
257. SETAL | score: 28.5119 | visits: 28
258. YEARS | score: 28.5119 | visits: 28
259. BASER | score: 28.5118 | visits: 28
260. SPORT | score: 28.5118 | visits: 28
261. SOWLE | score: 28.5118 | visits: 28
262. NERTS | score: 28.5117 | visits: 28
263. ALIEN | score: 28.5117 | visits: 28
264. SOUCE | score: 28.5116 | visits: 28
265. REALO | score: 28.5116 | visits: 28
266. LEARS | score: 28.5115 | visits: 28
267. SOLAR | score: 28.5115 | visits: 28
268. LOSER | score: 28.5115 | visits: 28
269. SPALE | score: 28.5114 | visits: 28
270. SAKER | score: 28.5114 | visits: 28
271. HASTE | score: 28.5113 | visits: 28
272. TOSED | score: 28.5113 | visits: 28
273. CATER | score: 28.5111 | visits: 28
274. HORSE | score: 28.5111 | visits: 28
275. SNOEP | score: 28.5108 | visits: 28
276. SINCE | score: 28.5107 | visits: 28
277. SLIER | score: 28.5107 | visits: 28
278. ROTAS | score: 28.5107 | visits: 28
279. LEANS | score: 28.5105 | visits: 28
280. RAWNS | score: 28.5104 | visits: 28
281. ARSED | score: 28.5103 | visits: 28
282. CEROS | score: 28.5103 | visits: 28
283. SNAKE | score: 28.5102 | visits: 28
284. DORSE | score: 28.5101 | visits: 28
285. SERIC | score: 28.5100 | visits: 28
286. SEDAN | score: 28.5099 | visits: 28
287. OWSEN | score: 28.5099 | visits: 28
288. SOLER | score: 28.5099 | visits: 28
289. WRAST | score: 28.5099 | visits: 28
290. STAKE | score: 28.5096 | visits: 28
291. WRENS | score: 28.5096 | visits: 28
292. CRISE | score: 28.5096 | visits: 28
293. WARNS | score: 28.5096 | visits: 28
294. PRISE | score: 28.5095 | visits: 28
295. SNIRT | score: 28.5094 | visits: 28
296. ROPES | score: 28.5094 | visits: 28
297. ROSIT | score: 28.5093 | visits: 28
298. COSEY | score: 28.5093 | visits: 28
299. LEARY | score: 28.5092 | visits: 28
300. TIRES | score: 28.5090 | visits: 28
301. PASTE | score: 28.5089 | visits: 28
302. CRAME | score: 28.5088 | visits: 28
303. SOCLE | score: 28.5087 | visits: 28
304. REPOS | score: 28.5084 | visits: 28
305. GEARS | score: 28.5084 | visits: 28
306. SHIRE | score: 28.5083 | visits: 28
307. WEANS | score: 28.5082 | visits: 28
308. WEROS | score: 28.5081 | visits: 28
309. SARKY | score: 28.5081 | visits: 28
310. TOUSE | score: 28.5081 | visits: 28
311. ACRES | score: 28.5079 | visits: 28
312. TRAVE | score: 28.5078 | visits: 28
313. PASEO | score: 28.5077 | visits: 28
314. SLAIN | score: 28.5076 | visits: 28
315. SOWCE | score: 28.5075 | visits: 28
316. SKEAR | score: 28.5075 | visits: 28
317. TASED | score: 28.5075 | visits: 28
318. COATE | score: 28.5073 | visits: 28
319. SEITY | score: 28.5072 | visits: 28
320. STREP | score: 28.5071 | visits: 28
321. SPACE | score: 28.5069 | visits: 28
322. ROLES | score: 28.5067 | visits: 28
323. PERST | score: 28.5065 | visits: 28
324. RASPY | score: 28.5065 | visits: 28
325. CORES | score: 28.5065 | visits: 28
326. SAROD | score: 28.5064 | visits: 28
327. SOLAN | score: 28.5064 | visits: 28
328. MORSE | score: 28.5063 | visits: 28
329. SLOPE | score: 28.5063 | visits: 28
330. TAROS | score: 28.5062 | visits: 28
331. COSIE | score: 28.5061 | visits: 28
332. STREW | score: 28.5060 | visits: 28
333. SUTOR | score: 28.5059 | visits: 28
334. COURE | score: 28.5058 | visits: 28
335. SATED | score: 28.5057 | visits: 28
336. PAISE | score: 28.5056 | visits: 28
337. SLAKE | score: 28.5055 | visits: 28
338. SKATE | score: 28.5055 | visits: 28
339. ROBES | score: 28.5054 | visits: 28
340. AISLE | score: 28.5053 | visits: 28
